12
31	31	31	31	31	31	29	4	0	31	31	31	
31	31	31	31	31	31	7	0	0	31	31	31	
31	31	31	31	31	10	11	0	0	31	31	31	
31	31	31	31	15	4	30	0	0	31	31	31	
31	31	31	21	0	25	31	0	0	31	31	31	
31	31	24	0	16	31	31	0	0	31	31	31	
31	28	2	7	31	31	31	0	0	31	31	31	
29	4	2	28	31	31	31	0	0	31	31	31	
8	0	21	31	31	31	31	0	0	31	31	31	
0	0	0	0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	0	
31	31	31	31	31	31	31	0	0	31	31	31	
31	31	31	31	31	31	31	0	0	31	31	31	
31	31	31	31	31	31	31	0	0	31	31	31	
31	31	31	31	1	0	0	0	0	0	0	1	
31	31	31	31	1	0	0	0	0	0	0	1	
