12
31	31	29	15	5	1	0	4	14	29	31	31	
31	26	2	0	0	0	0	0	0	2	26	31	
31	7	0	6	24	31	31	24	6	0	7	31	
31	0	0	28	31	31	31	31	29	0	0	31	
31	4	0	30	31	31	31	31	29	0	4	31	
31	19	0	7	24	31	31	24	7	0	20	31	
31	31	19	3	0	0	0	0	3	21	31	31	
31	30	11	0	0	0	0	0	0	10	28	31	
30	7	0	13	26	31	31	26	13	0	2	28	
13	0	16	31	31	31	31	31	31	16	0	12	
1	0	31	31	31	31	31	31	31	31	0	1	
0	0	31	31	31	31	31	31	31	31	0	0	
7	0	17	31	31	31	31	31	31	16	0	5	
21	0	0	14	26	31	31	26	13	0	0	19	
31	17	0	0	0	0	0	0	0	0	15	31	
31	31	26	12	4	0	0	4	12	26	31	31	
