11
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	2	
31	31	31	31	31	31	31	31	18	0	21	
31	31	31	31	31	31	31	23	0	11	31	
31	31	31	31	31	31	29	2	1	29	31	
31	31	31	31	31	31	9	0	17	31	31	
31	31	31	31	31	22	0	3	31	31	31	
31	31	31	31	31	5	0	16	31	31	31	
31	31	31	31	23	0	0	28	31	31	31	
31	31	31	31	10	0	5	31	31	31	31	
31	31	31	31	0	0	12	31	31	31	31	
31	31	31	21	0	0	19	31	31	31	31	
31	31	31	14	0	0	22	31	31	31	31	
31	31	31	10	0	0	26	31	31	31	31	
31	31	31	3	0	0	30	31	31	31	31	
31	31	31	1	0	0	31	31	31	31	31	
