13
31	31	31	31	31	31	31	20	0	0	0	31	31	
31	31	31	31	31	31	26	1	0	0	0	31	31	
31	31	31	31	31	30	4	0	4	0	0	31	31	
31	31	31	31	31	9	0	19	3	0	0	31	31	
31	31	31	31	17	0	11	31	1	0	0	31	31	
31	31	31	24	0	4	30	31	0	0	0	31	31	
31	31	29	3	0	26	31	31	0	0	0	31	31	
31	31	7	0	19	31	31	31	0	0	0	31	31	
31	14	0	11	31	31	31	31	0	0	0	31	31	
21	0	4	30	31	31	31	31	0	0	0	31	31	
1	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	
31	31	31	31	31	31	31	31	0	0	0	31	31	
31	31	31	31	31	31	31	31	0	0	0	31	31	
31	31	31	31	31	31	31	31	0	0	0	31	31	
31	31	31	31	31	31	31	31	0	0	0	31	31	
